ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
432,couples,couples_men,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,5,7,.07,-1.47579102817917,77.8631345773125,1,15,110,-.470372879377278,.470372879377278,6062.66772620467,32.1368654226875,2,3,9
1085,data4, ,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9,15,.15,-1.03643338949379,84.4534991575932,1,15,110,-.996172382119964,.996172382119964,7132.39351996159,25.5465008424068,4,5,25
433,couples,couples_men,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,9,15,.15,-1.03643338949379,84.4534991575932,1,15,110,-.996172382119964,.996172382119964,7132.39351996159,25.5465008424068,4,5,25
1061,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,19,19,34,.34,-.412463129441405,93.8130530583789,1,16,115,-1.31067113897668,1.31067113897668,8800.88892413422,21.1869469416211,10,9,81
9,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,19,19,34,.34,-.412463129441405,93.8130530583789,1,16,115,-1.31067113897668,1.31067113897668,8800.88892413422,21.1869469416211,10,9,81
19,couples,couples_women,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,20,19,34,.34,-.412463129441405,93.8130530583789,1,16,115,-1.31067113897668,1.31067113897668,8800.88892413422,21.1869469416211,8,11,121
509,motivation,JanAntcz,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,16,21,.21,-.80642124701824,87.9036812947264,1,16,115,-.916321511919662,.916321511919662,7727.05718516483,27.0963187052736,10,6,36
910,data4, ,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,19,34,.34,-.412463129441405,93.8130530583789,1,16,115,-1.31067113897668,1.31067113897668,8800.88892413422,21.1869469416211,12,7,49
47,couples,couples_women,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,19,34,.34,-.412463129441405,93.8130530583789,1,16,115,-1.31067113897668,1.31067113897668,8800.88892413422,21.1869469416211,12,7,49
589,motivation,LukWiecz,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,15,18,.18,-.915365087842814,86.2695236823578,1,16,115,-.784871636233994,.784871636233994,7442.43071638089,28.7304763176422,7,8,64
